Шпик свиной сырокопчёный в/у,520
Шпик свиной солёный в/у,435
Колбаса ""Московская"" в/у (говядина),1588
Сосиски ""Молочные"" в/у,1563
Окорочок куриный (варёно-копчёный) в/у,702
Курица-гриль (бедро крыло голень),580
Курица-гриль (халяль),621
Ребро свиное варено-копченое,600
Плов из мяса птицы,610
Плов из мяса свинины,550
Рис с овощами,440
Пицца "с колбасой и сыром" 500гр,505
Булочка с изюмом 100 гр,35
Булочка чесночная 50 г,20
Булочка "Дорожная" (посыпушка) 110 гр,32
Сосиска в тесте 120гр,108
Пирожок печеный с картофелем 110 гр,50
Пирожок печеный с капустой 110 гр,50
Рогалик (сдоба с вареным сгущ.молоком),50
Ватрушка с творогом 130 гр,60
Пончик 1шт-40гр,30
Сырник из творога 100 гр (2шт),121
Хлеб пшеничный "Фунтик" 1 сорт 400 гр,39
Хлеб пшеничный в/с 650 гр,55
Хлеб ржано-пшеничный 750 гр,60
Блинчик без начинки - 50гр,17
Блинчик с творогом 1 шт - 100гр,65
Котлета ""Домашняя"" (свинина говядина) п/ф ,82"
Котлета ""Домашняя"" (свинина говядина) жареная ,92"
Пельмени ""Мясные"" (свинина)  п/ф,358"
Пельмени ""Мясные"" жареные (свинина),540"
Пельмени ""Куриные""  из мяса птицы п/ф,394"
Пельмени ""Куриные"" жареные из мяса птицы,585"
Беляш с мясом (свинина говядина) 120гр,70
Картофель отварной,245
Салат ""Морковь по-корейски"",323"
Салат из свежей б/к капусты,296
Салат ""Витаминный""(лук маринованный),210"
Салат из моркови с сыром майонезом и чесноком,450

